building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active,mailer_building_number,mailer_street,mailer_street_type,mailer_city,mailer_state,mailer_zip_code,location_quality_grade,premise_quality_grade,listing_brokerage,listing_broker_name,listing_broker_email,listing_broker_number,tenant_contact_name,tenant_contact_phone_number,tenant_contact_email,tenant_contact_address,owner_contact_name,owner_contact_phone_number,owner_contact_email,owner_contact_address,unique_id_addedem,unique_id_complete,corridor,lattitude,longitude,previous_tenant,notes
186 West 4 Street,Karaoke BOHO,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,North American,,,2 - Average,3 - High Quality,5,Average,No,25,Street Frontage,0,1865,0,0,,1,15,1865,124,Standard,Yes,West Village,5,1865,10014,983621,206186,Existing,1,Manhattan,1-590-7502,590,7502,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-590-7502-2,,40.732664,-74.002099,,
108 7 Avenue South,Karavas Pizza 'n' Pita,Occupied,Unavailable,Restaurant & Bar,Take-out,Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1028,0,0,,1,18,1028,57,Standard,Yes,West Village,1,1028,10014,983370,206490,Existing,1,Manhattan,1-591-53,591,53,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-591-53-1,,40.733377,-74.003152,,
803 Washington Street,Kava Cafe ,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,20,Street Frontage,0,540,0,0,,1,45,540,12,Standard,Yes,West Village,3,540,10014,982088,208520,Existing,1,Manhattan,1-643-38,643,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,3,1-643-38-3,,40.738967,-74.007937,,
24 8 Avenue,Kawa Sushi,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,Asian,,,2 - Average,3 - High Quality,5,Average,No,50,Street Frontage,0,973,0,0,,1,21,973,46,Standard,Yes,West Village,2,973,10014,983035,208045,Existing,1,Manhattan,1-625-52,625,52,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-625-52-2,,40.737717,-74.004419,,
42 Carmine Street ,Kelly NYC Custom Guitars,Occupied,Unavailable,"Toys, Hobbies",Hobbies,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1520,0,0,,1,15,1520,101,Standard,Yes,West Village,1,1520,10014,983352,205187,Existing,1,Manhattan,1-527-61,527,61,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,,,,,,,,,,,,,,,1,1-527-61-1,,40.729954,-74.003285,,
342 West 14 Street,Keratin Bar Salon,Occupied,Unavailable,Personal Services,"Hair Studio, Barber",Local Chain / Independant,$$,North American,,,2 - Average,3 - High Quality,5,Average,No,50,Interior,0,1174,0,0,,1,,1151,,Standard,Yes,West Village,2,1174,10014,982934,208896,Existing,1,Manhattan,1-629-7503,629,7503,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-629-7503-1,,40.740403,-74.004474,,
271 Bleecker Street,Keste Pizza & Vino,Occupied,Unavailable,Restaurant & Bar,Take-out,Local Chain / Independant,$$,North American,,,3 - High Quality,2 - Average,5,Average,No,100,Street Frontage,0,803,0,0,Step up,1,15,803,53,Standard,Yes,West Village,1,803,10014,983437,205796,Existing,1,Manhattan,1-590-8,590,8,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-590-8-1,,40.731504,-74.003045,,
330 Bleecker ,Vacant,Vacant,Unavailable,,,,,,,,3 - High Quality,2 - Average,5,Average,No,10,Street Frontage,0,1000,0,0,,1,35,1000,28,Standard,Yes,West Village,7,1000,10014,982935,206517,Existing,1,Manhattan,1-619-33,619,33,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,4,1-619-33-4,,40.733573,-74.004553,,
59 Christopher Street,Kettle of Fish,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,14,Street Frontage,0,840,0,0,Step down,1,10,819,81,Standard,Yes,West Village,7,840,10014,983617,206644,Existing,1,Manhattan,1-610-1,610,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,4,1-610-1-4,,40.733759,-74.00239,,
102 Charles Street,Khirma,Occupied,Unavailable,Apparel,Leather and Luggage,International Presence,$$$,European,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,2183,0,0,,1,55,2183,39,Standard,Yes,West Village,1,2183,10014,982813,206835,Existing,1,Manhattan,1-620-18,620,18,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-620-18-1,,40.73451,-74.005214,,
331 6 Avenue,Vacant,Vacant,Available,,,,,,,,2 - Average,1- Low End,3,Average,No,100,Street Frontage,0,2332,0,0,,1,27,2332,86,Standard,Yes,West Village,1,2332,10014,983826,205757,Existing,1,Manhattan,1-589-28,589,28,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-589-28-1,,40.726869,-73.987023,,
400 West 14 Street,Kiehl's,Occupied,Unavailable,Health and Personal Care,Cosmetics & Beauty Supply,Local Chain / Independant,$$,North American,Men's,,3 - High Quality,3 - High Quality,6,Prime,No,25,Street Frontage,0,1000,0,0,,1,18,1000,55,Standard,Yes,West Village,2,1000,10014,982649,209171,Existing,1,Manhattan,1-646-43,646,43,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-646-43-2,,40.740918,-74.005695,,
448 Hudson Street,King Deli,Occupied,Unavailable,Grocery,"Deli, Convenience Store",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,14,Street Frontage,0,1978,0,0,,1,25,1978,79,Standard,Yes,West Village,7,1978,10014,982502,205698,Existing,1,Manhattan,1-584-7501,584,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,5,1-584-7501-5,,40.731192,-74.006557,,
222 Varick Street,King Wok Chinese Food,Occupied,Unavailable,Restaurant & Bar,Take-out,Local Chain / Independant,$,Asian,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1200,0,0,,1,15,1200,80,Standard,Yes,West Village,1,1200,10014,982866,204878,Existing,1,Manhattan,1-528-52,528,52,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-528-52-1,,40.729041,-74.005044,,
32 Jones Street,Kryolan,Occupied,Unavailable,Restaurant & Bar,Cafe,International Presence,$$$,North American,,,2 - Average,3 - High Quality,5,Average,Yes,25,Street Frontage,0,542,0,0,Step up,1,30,542,18,Standard,Yes,West Village,3,542,10014,983408,205859,Existing,1,Manhattan,1-590-11,590,11,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-590-11-2,,40.731736,-74.003048,,
282 Bleecker Street,Kumo Sushi,Occupied,Unavailable,Restaurant & Bar,Restaurant,Regional Presence,$$,Asian,,,3 - High Quality,2 - Average,5,Average,No,100,Street Frontage,0,1504,0,0,,1,15,1504,100,Standard,Yes,West Village,1,1504,10014,983268,205873,Existing,1,Manhattan,1-587-24,587,24,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-587-24-1,,40.731783,-74.003436,,
333 6 Avenue,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,2 - Average,4,Average,No,15,Street Frontage,0,675,0,0,,1,18,675,37,Standard,Yes,West Village,5,675,10014,983863,205790,Existing,1,Manhattan,1-589-7501,589,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,4,1-589-7501-4,,40.726833,-73.98695,,
76 Carmine Street ,Kumon ,Occupied,Unavailable,Other Services,Other Services,National Presence,$$,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,5699,0,0,,1,30,5699,189,Standard,Yes,West Village,2,5699,10014,982929,204954,Existing,1,Manhattan,1-528-7501,528,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-528-7501-1,,40.729445,-74.00462,,
115 Greenwich Avenue,La Belle Epoque,Occupied,Unavailable,Gifts and Memorabilia,"Gift Shop, Memorabilia and Souvenirs",Local Chain / Independant,$$$,European,,,2 - Average,2 - Average,4,Average,No,20,Street Frontage,0,883,0,0,,1,15,883,58,Standard,Yes,West Village,5,883,10014,983589,208258,Existing,1,Manhattan,1-616-27,616,27,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,3,1-616-27-3,,40.738268,-74.002264,,
28 8 Avenue,La Bonbonniere,Occupied,Unavailable,Restaurant & Bar,Fast Food,Local Chain / Independant,$,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,973,0,0,,1,30,973,32,Standard,Yes,West Village,2,973,10014,983035,208045,Existing,1,Manhattan,1-625-52,625,52,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-625-52-1,,40.732787,-73.997866,,
41 Greenwich ,La Bota ,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1380,0,0,Step down,1,50,1380,27,Standard,Yes,West Village,1,1380,10014,984059,207205,Existing,1,Manhattan,1-612-64,612,64,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-612-64-1,,40.735436,-74.0006,,
82 Christopher Street,La Gringa,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,762,0,0,,1,1,762,762,Standard,Yes,West Village,2,762,10014,983246,206451,Existing,1,Manhattan,1-591-48,591,48,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-591-48-1,,40.733414,-74.00364,,
29 7 Avenue B,La Loteria,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,30,Street Frontage,0,1320,0,0,,1,35,1320,37,Standard,Yes,West Village,3,1320,10014,983099,205530,Existing,1,Manhattan,1-586-45,586,45,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-586-45-2,,40.721672,-73.983546,,
617 Hudson Street,La Maison Supreme,Occupied,Unavailable,"Building, Garden, Animal",Furniture,Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,400,0,0,,1,18,400,22,Standard,Yes,West Village,1,400,10014,982620,208132,Existing,1,Manhattan,1-625-11,625,11,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-625-11-1,,40.737945,-74.005802,,
425 West 14 Street,La Perla,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$,European,,,3 - High Quality,3 - High Quality,6,Prime,No,12,Street Frontage,0,6025,0,0,,2,20,6025,301,High,Yes,Chelsea,9,6025,10014,982423,209520,Existing,1,Manhattan,1-712-14,712,14,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,6,1-712-14-6,,40.741634,-74.006578,,
605 Hudson Street,La Ripaille,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$$,European,,,2 - Average,3 - High Quality,5,Average,No,50,Street Frontage,0,991,0,0,Step up,1,15,991,66,Standard,Yes,West Village,2,991,10014,982584,207884,Existing,1,Manhattan,1-624-17,624,17,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-624-17-1,,40.737281,-74.005907,,
315 6 Avenue,La Vid Wine & Spirits,Occupied,Unavailable,Liquor Store,Liquor Store,Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1350,0,0,Step up,1,15,1350,90,Standard,Yes,West Village,1,1350,10014,983734,205607,Existing,1,Manhattan,1-589-36,589,36,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-589-36-1,,40.727121,-73.987593,,
34 Gansevoort Street,Vacant,Vacant,Available,,,,,,,,3 - High Quality,3 - High Quality,6,Prime,No,100,Street Frontage,1485,1915,0,0,,2,16,6725,420,Standard,Yes,West Village,1,3400,10014,982621,208584,Existing,1,Manhattan,1-627-8,627,8,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-627-8-1,,40.739296,-74.005966,,
632 Hudson St,La Vie,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,8150,0,0,,1,65,8150,125,Standard,Yes,West Village,1,8150,10014,982801,208310,Existing,1,Manhattan,1-626-25,626,25,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-626-25-1,,40.738452,-74.005374,,
340 Bleecker ,Vacant,Vacant,Available,,,,,,,,3 - High Quality,2 - Average,5,Average,No,30,Street Frontage,0,1181,0,0,,1,55,1181,21,Standard,Yes,West Village,3,1181,10014,982950,206618,Existing,1,Manhattan,1-619-26,619,26,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-619-26-1,,40.733686,-74.004538,,
324 West 14 Street,LabCorp,Occupied,Unavailable,Medical Services,Medical Services,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1900,0,0,,1,18,1900,105,Standard,Yes,West Village,1,1900,10014,983164,208889,Existing,1,Manhattan,1-629-23,629,23,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-629-23-1,,40.740138,-74.003838,,
45 Christopher Street B,Laina Jane,Occupied,Unavailable,Apparel,Clothing,Local Chain / Independant,$$,North American,Adult,,2 - Average,2 - Average,4,Average,No,14,Street Frontage,0,730,0,0,,1,15,730,48,Standard,Yes,West Village,7,730,10014,983737,206677,Existing,1,Manhattan,1-610-7501,610,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-610-7501-2,,40.733846,-74.001812,,
113 Christopher ,Lamore Lingerie & Apparel ,Occupied,Unavailable,Apparel,Clothing,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,900,0,0,,1,30,900,30,Standard,Yes,West Village,2,900,10014,982767,206481,Existing,1,Manhattan,1-619-42,619,42,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-619-42-2,,40.733309,-74.005318,,
228 West 10 Street,L'Artusi,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1700,0,0,,1,35,1700,48,Standard,Yes,West Village,1,1700,10014,982830,206592,Existing,1,Manhattan,1-619-21,619,21,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-619-21-1,,40.73384,-74.005153,,
343 West 14 Street,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,1600,2450,0,0,,1,20,4050,202,Standard,Yes,Chelsea,1,4050,10014,983062,209171,Existing,1,Manhattan,1-738-13,738,13,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-738-13-1,,40.740696,-74.004363,,
170 West 4 Street,Las Ramblas,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$$,European,,,2 - Average,3 - High Quality,5,Average,No,50,Street Frontage,0,1750,0,0,Step up,1,15,1750,116,Standard,Yes,West Village,2,1750,10014,983797,205968,Existing,1,Manhattan,1-590-29,590,29,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-590-29-1,,40.732015,-74.001516,,
172 Waverly Place,Laundry Wash & Fold,Occupied,Unavailable,"Laundry, Dry Cleaning",,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,40,Street Frontage,0,638,0,0,,1,25,638,25,Standard,Yes,West Village,2,638,10014,983870,206692,Existing,1,Manhattan,1-610-27,610,27,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-610-27-2,,40.734005,-74.001355,,
