building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active,mailer_building_number,mailer_street,mailer_street_type,mailer_city,mailer_state,mailer_zip_code,location_quality_grade,premise_quality_grade,listing_brokerage,listing_broker_name,listing_broker_email,listing_broker_number,tenant_contact_name,tenant_contact_phone_number,tenant_contact_email,tenant_contact_address,owner_contact_name,owner_contact_phone_number,owner_contact_email,owner_contact_address,unique_id_addedem,unique_id_complete,corridor,lattitude,longitude,previous_tenant,notes
392 Bleecker Street,Bonpoint ,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$,European,,,3 - High Quality,2 - Average,5,Average,No,100,Street Frontage,0,760,0,0,,1,35,760,21,Standard,Yes,West Village,1,760,10014,982815,207248,Existing,1,Manhattan,1-622-20,622,20,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-622-20-1,,40.735536,-74.00511,,
35 Jane,Bonsignour ,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,700,0,0,,1,40,700,17,Standard,Yes,West Village,1,700,10014,983040,208267,Existing,1,Manhattan,1-626-47,626,47,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-626-47-1,,40.738212,-74.004385,,
266 Bleecker Street,BookBook,Occupied,Unavailable,Books,Book Stores,Local Chain / Independant,$$,North American,,,3 - High Quality,2 - Average,5,Average,No,100,Street Frontage,0,1012,0,0,,1,20,1012,50,Standard,Yes,West Village,1,1012,10014,983350,205686,Existing,1,Manhattan,1-586-63,586,63,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-586-63-1,,40.731273,-74.003136,,
400 Bleecker ,BookMarc,Occupied,Unavailable,Books,Book Stores,Local Chain / Independant,$$,North American,,,3 - High Quality,2 - Average,5,Average,Yes,70,Street Frontage,0,875,0,0,,1,50,875,17,Standard,Yes,West Village,2,875,10014,982807,207345,Existing,1,Manhattan,1-622-16,622,16,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-622-16-1,,40.735827,-74.00519,,
76 Christopher Street,Boots & Saddle,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,33,Street Frontage,0,799,0,0,Step up,1,24,799,33,Standard,Yes,West Village,3,799,10014,983333,206442,Existing,1,Manhattan,1-591-51,591,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-591-51-1,,40.73345,-74.003382,,
12 Morton Street,Bosie Tea Parlor,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$,European,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,2250,0,0,,1,20,2250,112,Standard,Yes,West Village,2,2250,10014,983267,205654,Existing,1,Manhattan,1-586-57,586,57,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-586-57-2,,40.731139,-74.003537,,
167 7 Avenue South,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,,Street Frontage,0,550,0,0,,1,,550,,Standard,Yes,West Village,3,550,10014,983861,207280,Existing,1,Manhattan,1-612-51,612,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,3,1-612-51-3,,40.735394,-74.001659,,
117 Christopher ,Bottega Organica,Occupied,Unavailable,Personal Services,Blank,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,60,Street Frontage,0,1063,0,0,,1,40,1063,26,Standard,Yes,West Village,2,1063,10014,982718,206471,Existing,1,Manhattan,1-619-44,619,44,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-619-44-2,,40.733284,-74.005497,,
55 Little West 12 Street,Brass Monkey,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$,North American,,,3 - High Quality,3 - High Quality,6,Prime,No,50,Street Frontage,0,645,0,645,,1,30,1290,43,Standard,Yes,West Village,2,1290,10014,981911,209155,Existing,1,Manhattan,1-645-23,645,23,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,2,1-645-23-2,,40.740648,-74.008525,,
409 West 13 Street,Brasserie Beaumarchais,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$$,European,,,3 - High Quality,3 - High Quality,6,Prime,No,50,Street Frontage,0,7182,0,0,,2,60,7182,119,Standard,Yes,West Village,3,7182,10014,982496,209137,Existing,1,Manhattan,1-646-49,646,49,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-646-49-1,,40.74063,-74.006479,,
450 Hudson Street,Bread,Occupied,Unavailable,Restaurant & Bar,,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,14,Street Frontage,0,1978,0,0,,1,15,1978,131,Standard,Yes,West Village,7,1978,10014,982502,205698,Existing,1,Manhattan,1-584-7501,584,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,7,1-584-7501-7,,40.731258,-74.006549,,
500 Hudson Street,Brooklyn Industries,Occupied,Unavailable,Apparel,Clothing,Regional Presence,$$$,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1287,0,0,,1,35,1287,36,Standard,Yes,West Village,1,1287,10014,982547,206328,Existing,1,Manhattan,1-585-49,585,49,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,,,,,,,,,,,,,,,1,1-585-49-1,,40.732995,-74.006238,,
